,,Map,,
,,,,
,,,,
Date,Location,Activities,Lodging,Notes
09/11/2026,Split,"Arrivals,",,
09/12/2026,Split,"Arrivals, Split Activities",,jakov: Saturday night out - Antique club => Boiler club 
09/13/2026,Split,Split & Trogir,,
09/14/2026,Split --> Korčula,"Split, departure to Korčula",,
09/15/2026,Korčula,,,
09/16/2026,Korčula --> Pelješac Peninsula/Orebić,,,
09/17/2026,Pelješac Peninsula/Orebić,,,
09/18/2026,Pelješac Peninsula/Orebić,,,
09/19/2026,Pelješac Peninsula/Orebić --> Dubrovnik,,,
09/20/2026,Dubrovnik,,,
09/21/2026,Dubrovnik,"Departures, Dubrovnik Activities",,
09/22/2026,Dubrovnik,Departures,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,Draft,,
,,Sept 11 -> Split,,
,,Sept 21 <- Dubrovnik,,
,,,,
,,Days 1–2: Split & Trogir,,
,,Pick up your rental car and explore the historic centers of Split and Trogir.,,
,,Dining: Visit Pandora Greenbox in Split for its highly-rated plant-based menu.,,
,,Days 3–5: Korčula Island (3 nights),,
,,Take the car ferry from Split to Vela Luka (approx. 3 hours).,,
,,"Explore Korčula Town, known as ""Little Dubrovnik"" for its medieval charm.",,
,,"Drive to Lumbarda to experience the only sandy beach on the island, Vela Pržina.",,
,,Days 6–8: Pelješac Peninsula (3 nights),,
,,Take the 20-minute car ferry from Korčula (Dominče) to Orebić.,,
,,"Stay: Consider basing yourself in Orebić at a place like Aminess Bellevue Village for beach access, or find a quiet guesthouse in the village of Dingac-Potocine for a more remote feel.",,
,,Activities:,,
,,"Beaches: Spend a day at Trstenica Beach in Orebić, which features fine sand and pebbles. For more seclusion, drive to Divna Beach or Duba Beach on the northern shores.",,
,,"Wine: Tour the world-renowned Dingač wine-growing hills. Matusko winery is a highly recommended stop (booking required, cash only).",,
,,"Dining: ""Dalmatinac"" in Orebić offers vegan pizza and a significant array of vegetarian dishes.",,
,,Day 8 - Sept 19th: Ston to Dubrovnik,,
,,Drive south toward Dubrovnik with a stop in Ston to see the ancient defensive walls.,,
,,"Relax at Prapratno Beach, a popular sandy spot near Ston with crystal-clear, shallow water.",,
,,Continue the scenic drive to Dubrovnik (approx. 1 hour from Ston).,,
,,Day 10: Dubrovnik & Departure,,
