date,overview,author
2026-09-10,First arrivals into Split.,Jakov
2026-09-11,Arrivals into Split continue. Free time to settle in and explore Split's old town / Riva waterfront.,Jakov
2026-09-12,"More arrivals into Split. Group now mostly assembled.

Jakov's tip: for a Saturday night out, hit the Antique club, then move on to Boiler club.",Jakov
2026-09-13,"Days 1–2: Split & Trogir. Pick up rental cars and explore the historic centers of Split and Trogir.

Dining: Pandora Greenbox in Split for its highly-rated plant-based menu.",Jakov
2026-09-14,"Days 3–5: Korčula Island (3 nights). Departure from Split, car ferry to Vela Luka (approx. 3 hours).

Explore Korčula Town, known as ""Little Dubrovnik"" for its medieval charm.",Jakov
2026-09-15,"Korčula. Drive to Lumbarda to experience the only sandy beach on the island, Vela Pržina.",Jakov
2026-09-16,"Days 6–8: Pelješac Peninsula (3 nights). Short ferry hop from Korčula (Dominče) to Orebić (~20 minutes).

Consider basing at Aminess Bellevue Village for beach access, or a quiet guesthouse in Dingač-Potočine for a more remote feel.",Jakov
2026-09-17,"Pelješac Peninsula. Beaches: Trstenica Beach in Orebić (fine sand and pebbles). For seclusion: Divna Beach or Duba Beach on the northern shores.

Wine: Tour the Dingač wine-growing hills. Matusko winery is highly recommended (booking required, cash only).",Jakov
2026-09-18,"Pelješac Peninsula.

Dining: Dalmatinac in Orebić — vegan pizza and a wide range of vegetarian dishes.",Jakov
2026-09-19,"Day 8: Ston to Dubrovnik. Drive south with a stop in Ston to see the ancient defensive walls.

Prapratno Beach near Ston — popular sandy spot with crystal-clear shallow water.

Continue the scenic drive to Dubrovnik (approx. 1 hour from Ston).",Jakov
2026-09-20,Day 9: Dubrovnik. Free day to explore the old town and surroundings.,Jakov
2026-09-21,"Day 10: Dubrovnik & Departure. Most of the group departs today.

Jakov's tip: definitely do a walk around the old town / city walls before you go.",Jakov
2026-09-22,Final departures from Dubrovnik.,Jakov
2026-09-10,Diocletian's Palace: the Old Town is built inside a 4th-century Roman emperor's retirement palace. Free to walk through at any hour — the basement halls (Vestibule) charge a small entry fee. Best explored in the evening when crowds thin.,Claude
2026-09-10,Bačvice beach: Split's most popular city beach 10 min walk from the Old Town. Famous for picigin — a local shallow-water ball game played in small groups. Clean water and a lively beach bar scene.,Claude
2026-09-10,Riva promenade: Split's palm-lined waterfront. Good spot for a first-evening walk and dinner. Most restaurants on the Riva itself are tourist-priced — step one block back for better value.,Claude
